T,TM,Tm,H,PP,VV,V,VM,PM 2.5
10.2,13.4,4.0,88.0,4.32,9.5,11.1,24.1,34.0
8.4,14.5,4.0,84.0,0.0,12.1,4.6,11.1,50.0
5.5,9.1,2.0,87.0,0.0,9.8,12.6,33.5,52.0
6.3,13.6,0.5,76.0,0.0,10.6,17.4,42.4,44.0
6.7,12.0,0.0,78.0,16.0,9.5,19.3,29.4,20.0
9.5,12.3,3.0,69.0,0.51,16.9,19.3,35.2,34.0
8.4,13.0,4.2,70.0,5.84,13.5,17.8,42.4,43.0
6.8,11.0,0.0,77.0,0.51,11.9,11.3,40.7,29.0
2.9,4.5,-0.4,82.0,0.25,11.4,23.7,38.9,21.0
2.5,6.2,-3.0,76.0,0.0,12.4,8.1,16.5,77.0
3.1,9.2,-5.1,69.0,0.0,10.1,13.1,20.6,34.0
5.6,9.1,0.0,89.0,0.51,9.5,6.9,20.6,29.0
2.3,7.5,-1.0,82.0,5.59,9.3,5.0,11.1,45.0
4.2,9.4,-1.2,77.0,0.0,8.2,12.6,24.1,49.0
3.9,7.4,0.3,69.0,0.0,7.4,15.0,29.4,102.0
5.0,13.3,1.0,90.0,0.51,9.7,14.4,24.1,99.0
1.7,4.8,-1.0,94.0,16.26,9.8,6.3,13.0,68.0
1.2,8.6,-6.0,79.0,0.76,8.2,6.9,20.6,30.0
1.4,5.0,-2.0,80.0,0.76,10.0,18.1,31.7,35.0
0.4,8.0,-7.4,74.0,0.0,10.1,9.6,22.2,31.0
4.4,9.0,-1.2,79.0,0.0,7.4,6.7,14.8,117.0
4.3,12.2,-3.2,75.0,0.0,6.6,8.0,14.8,97.0
5.7,12.0,-2.2,71.0,0.0,8.2,13.7,25.9,73.0
6.6,16.5,-2.6,68.0,0.0,6.8,6.5,11.1,77.0
6.3,13.0,-0.5,83.0,0.0,6.8,6.9,16.5,78.0
6.9,10.3,3.8,80.0,0.0,5.6,8.3,20.6,68.0
6.2,10.9,1.7,80.0,0.0,8.7,5.7,13.0,52.0
9.6,17.5,-0.1,66.0,0.51,7.1,8.5,29.4,70.0
7.8,14.6,2.0,81.0,0.0,11.1,9.8,22.2,63.0
13.9,21.4,6.9,66.0,0.0,16.3,11.5,27.8,42.0
6.6,17.9,5.0,88.0,0.76,10.3,9.8,18.3,36.0
9.8,17.0,5.8,85.0,1.52,8.4,6.5,20.6,32.0
11.7,16.0,8.1,88.0,0.0,10.0,8.1,25.9,57.0
7.9,12.6,3.0,74.0,0.0,15.9,10.7,24.1,16.0
5.9,9.0,2.9,75.0,0.0,12.6,15.7,31.7,18.0
6.9,11.5,2.0,78.0,0.51,11.4,13.3,20.6,16.0
7.7,16.6,0.0,94.0,0.0,14.2,8.5,20.6,28.0
11.6,18.2,2.7,67.0,4.32,15.8,5.9,13.0,27.0
8.9,16.1,1.3,75.0,0.51,11.7,11.1,22.2,12.0
13.5,19.3,7.6,72.0,0.0,10.9,11.9,20.6,34.0
6.0,10.9,2.4,70.0,0.51,10.1,12.6,24.1,31.0
8.2,13.5,3.6,74.0,0.0,11.1,7.2,18.3,13.0
6.1,11.5,0.7,64.0,4.32,9.5,7.8,14.8,22.0
4.8,7.2,3.0,92.0,15.49,9.0,24.1,31.7,31.0
10.1,16.2,4.9,78.0,6.6,10.3,15.6,24.1,10.0
11.2,15.4,4.0,71.0,0.0,10.8,18.3,37.0,36.0
14.8,21.0,6.1,66.0,0.0,13.2,6.9,16.5,40.0
15.6,22.0,11.9,82.0,1.02,9.3,6.9,18.3,44.0
11.3,17.3,3.0,94.0,15.24,10.9,14.6,31.7,15.0
9.8,14.0,6.0,69.0,0.25,10.3,14.8,27.8,29.0
12.1,19.0,3.8,78.0,6.1,9.8,7.8,16.5,13.0
12.9,21.0,3.0,75.0,0.0,8.4,6.1,14.8,19.0
12.1,17.1,5.0,92.0,0.51,10.1,6.7,20.6,19.0
13.8,17.0,11.0,85.0,9.4,11.7,4.4,11.1,17.0
14.2,18.0,12.0,89.0,0.0,10.0,4.3,14.8,15.0
15.1,19.3,12.6,86.0,7.11,9.3,4.1,13.0,24.0
18.3,24.0,13.5,79.0,0.0,10.8,9.1,22.2,32.0
17.3,23.0,1.0,79.0,0.25,10.9,13.0,24.1,37.0
14.6,22.0,4.0,93.0,5.59,12.1,5.4,11.1,18.0
14.9,19.0,7.0,84.0,12.95,18.8,7.6,16.5,20.0
16.1,22.3,6.0,70.0,0.51,12.2,10.4,24.1,17.0
14.9,19.5,12.0,79.0,2.54,14.2,15.9,31.7,20.0
16.2,21.2,10.0,71.0,0.0,13.0,7.6,18.3,15.0
20.0,26.2,14.6,74.0,0.51,12.9,7.2,14.8,23.0
20.6,28.4,16.0,73.0,14.48,12.2,10.7,22.2,58.0
18.4,23.0,13.5,62.0,0.51,9.7,13.9,24.1,38.0
18.3,23.5,11.5,61.0,0.0,13.2,12.0,22.2,28.0
22.7,29.6,16.0,66.0,0.51,23.2,5.0,24.1,51.0
17.9,27.9,9.0,82.0,0.0,10.6,10.0,25.9,47.0
17.3,23.6,8.8,61.0,0.0,12.2,10.2,16.5,45.0
23.4,31.1,14.8,60.0,0.0,12.2,6.9,16.5,41.0
24.7,30.0,18.0,56.0,0.0,14.8,10.6,20.6,50.0
14.8,19.7,9.0,72.0,3.81,11.3,10.2,25.9,31.0
12.1,18.0,4.0,77.0,0.0,21.4,13.5,38.9,16.0
15.7,21.0,9.0,63.0,0.0,13.4,20.2,31.7,19.0
22.5,28.0,15.8,67.0,0.0,9.5,10.4,22.2,36.0
22.9,29.3,14.4,64.0,0.0,13.5,10.2,25.9,37.0
20.9,27.0,15.0,64.0,0.0,12.2,8.9,18.3,40.0
20.3,27.2,17.6,82.0,16.0,16.3,9.1,33.5,37.0
20.1,26.0,13.0,61.0,1.02,14.3,10.7,24.1,30.0
19.3,25.5,10.9,69.0,0.0,18.3,10.6,22.2,21.0
18.9,25.6,14.0,72.0,0.0,13.4,11.3,25.9,35.0
21.7,28.4,14.5,70.0,4.32,18.3,4.8,11.1,45.0
16.8,21.3,11.0,70.0,10.92,12.2,10.4,25.9,45.0
22.1,29.7,15.5,67.0,0.0,11.9,5.2,13.0,26.0
21.4,29.2,13.4,61.0,0.0,13.7,9.3,22.2,46.0
21.2,27.4,15.0,66.0,0.0,15.0,6.7,16.5,38.0
20.9,27.3,15.3,70.0,0.0,7.6,7.8,16.5,51.0
16.9,22.3,6.0,78.0,14.99,11.3,9.8,24.1,56.0
15.4,19.5,12.9,81.0,0.0,9.5,14.3,29.4,11.0
15.0,19.1,12.0,79.0,0.0,9.0,9.3,20.6,31.0
14.1,19.1,9.8,80.0,0.0,9.5,7.2,14.8,53.0
17.6,24.2,11.0,71.0,0.0,10.1,10.4,18.3,54.0
15.8,18.4,14.0,84.0,0.0,11.3,7.6,16.5,57.0
15.3,21.0,10.9,78.0,0.0,9.8,5.7,16.5,42.0
15.0,19.4,13.0,84.0,0.0,9.7,9.1,18.3,44.0
14.2,17.0,8.0,85.0,2.03,7.4,7.4,13.0,27.0
8.5,16.0,1.0,81.0,0.0,8.2,5.2,11.1,41.0
9.1,14.7,3.5,80.0,0.0,8.7,9.3,25.9,56.0
7.4,14.0,0.9,82.0,0.0,9.0,6.3,20.6,57.0
9.2,11.0,6.9,90.0,2.54,9.5,12.4,27.8,59.0
11.1,14.3,9.0,92.0,28.19,14.3,17.0,31.7,69.0
12.6,18.3,5.0,83.0,16.0,10.5,7.0,18.3,49.0
8.2,13.0,2.5,85.0,0.0,10.3,6.3,18.3,38.0
8.8,13.0,5.0,76.0,0.0,11.6,13.7,25.9,30.0
7.8,13.2,1.5,84.0,0.0,10.5,7.2,24.1,21.0
14.6,17.5,10.3,94.0,20.83,13.2,8.3,18.3,46.0
12.0,14.6,9.4,95.0,24.89,7.2,8.3,22.2,52.0
10.1,12.4,7.0,92.0,1.02,9.2,10.6,16.5,33.0
7.9,16.0,0.5,86.0,0.0,2.7,10.7,20.6,66.0
11.3,18.1,6.0,80.0,0.0,8.0,14.4,27.8,66.0
9.3,15.3,4.9,88.0,0.0,8.9,11.1,16.5,74.0
7.1,10.6,2.0,83.0,0.0,9.8,7.6,14.8,77.0
3.2,8.0,-1.0,81.0,0.51,8.9,4.8,13.0,24.0
1.9,4.4,-3.0,88.0,0.0,9.8,8.0,18.3,39.0
1.8,5.0,-3.6,96.0,0.25,8.5,11.3,18.3,49.0
5.4,8.2,-0.7,82.0,0.0,9.7,10.2,20.6,48.0
4.3,6.6,3.0,92.0,0.0,8.5,12.6,24.1,57.0
2.7,6.3,-1.0,86.0,0.0,8.9,9.4,29.4,57.0
8.2,11.5,2.1,79.0,2.03,10.5,7.6,22.2,46.0
11.9,17.0,2.0,60.0,0.76,13.2,13.7,27.8,39.0
16.2,17.4,14.3,56.0,0.0,15.3,28.2,40.7,25.0
9.3,14.6,6.6,90.0,7.87,6.8,6.7,16.5,51.0
